annee,semestre,anonymat,carte,ue,credit,nom_prenoms,sexe,note,cohorte,filiere
2020-2021,4,AF699897,B00056,BIO2206,2,Salimata Abdoulaye,M,10.8,2019,GL
2020-2021,4,A44ECF28,B00057,BIO2206,2,Gano Mahamadou,M,10.15,2019,SRI
2020-2021,4,A4235FA3,B00058,BIO2206,2,Sali Tidjani,M,13.42,2019,GC
2020-2021,4,AA094516,B00059,BIO2206,2,Karim Oumou,F,8.49,2019,LT
2020-2021,4,A0CF3098,B00060,BIO2206,2,Sacko Bakary,M,13.52,2019,GM
2020-2021,4,ADC8F01C,B00061,BIO2206,2,Oumar Cheick,M,12.24,2019,GL
2020-2021,4,AC2DBB0B,B00062,BIO2206,2,Sacko Ibrahim,M,10.28,2019,GL
2020-2021,4,A4892699,B00063,BIO2206,2,Camara Issiaka,M,9.35,2019,GC
2020-2021,4,A7F25F9D,B00064,BIO2206,2,Lala Awa,F,6.94,2019,GL
2020-2021,4,A7E4DDDA,B00065,BIO2206,2,Makan Vieux,M,10.77,2019,IS
2020-2021,4,A92B1306,B00066,BIO2206,2,Amadou Souleymane,M,17.93,2019,IS
2020-2021,4,AD6B17D3,B00067,BIO2206,2,Zacharie Salimata,F,16.68,2019,IA
2020-2021,4,A077C012,B00068,BIO2206,2,Camara Nouhou,M,8.33,2019,GE
2020-2021,4,A91FB1D3,B00069,BIO2206,2,Souleymane Zénab,F,11.42,2019,IA
2020-2021,4,AB0D72CC,B00070,BIO2206,2,Maïga Kassim,M,11.08,2019,SRI
2020-2021,4,AF57CB9F,B00071,BIO2206,2,Alassane Sada,M,6.74,2019,SRI
2020-2021,4,A99F0522,B00072,BIO2206,2,Tao Rachid,M,12.74,2019,GL
2020-2021,4,A1DCED28,B00073,BIO2206,2,Adama Daouda,M,10.55,2019,GM
2020-2021,4,A3DF14C2,B00074,BIO2206,2,Cissé Samba,M,12.44,2019,GM
2020-2021,4,ABE615E0,B00075,BIO2206,2,Bâ Zana,F,12.08,2019,GL
2020-2021,4,A4CDB493,B00076,BIO2206,2,Sangaré Abdou,M,11.26,2019,SRI
2020-2021,4,A224387D,B00077,BIO2206,2,Bamba Cheick,M,12.68,2019,IA
2020-2021,4,AD807E2D,B00078,BIO2206,2,Gakou Rahmatou,F,10.0,2019,GE
2020-2021,4,AEAC2B94,B00079,BIO2206,2,Karim Lamine,M,9.97,2019,GE
2020-2021,4,A079F848,B00080,BIO2206,2,Fatoumata Abdoulaye,M,9.95,2019,GL
2020-2021,4,A49529B1,B00081,BIO2206,2,Oumar Mahamane,M,11.44,2019,GL
2020-2021,4,A908F510,B00082,BIO2206,2,Kéita Aïda,F,13.35,2019,LT
2020-2021,4,A28AF623,B00083,BIO2206,2,Fatoumata Younoussa,M,13.27,2019,GL
2020-2021,4,A92CF342,B00084,BIO2206,2,Sangaré Modibo,M,13.35,2019,GE
2020-2021,4,A90BA7D3,B00085,BIO2206,2,Bouna Mahamane,M,13.77,2019,IA
2020-2021,4,AF81BEF9,B00086,BIO2206,2,Abdou Sitan,F,16.56,2019,GC
2020-2021,4,A5F0BCA8,B00087,BIO2206,2,Zoumana Boureima,M,9.39,2019,GE
2020-2021,4,AD9EB73C,B00088,BIO2206,2,Maïga Ousmane,M,7.62,2019,IA
2020-2021,4,A61B7FA2,B00089,BIO2206,2,Lassana Halima,F,11.61,2019,GC
2020-2021,4,A3F2C91C,B00090,BIO2206,2,Yacouba Issiaka,M,12.4,2019,GM
2020-2021,4,A73F1B6C,B00091,BIO2206,2,Djité Cheick,M,12.92,2019,IS
2020-2021,4,AB07F4AF,B00092,BIO2206,2,Bamba Fodé,M,15.83,2019,GE
2020-2021,4,A7AACFFD,B00093,BIO2206,2,Zoumana Boureima,M,9.49,2019,IA
2020-2021,4,A3D5A8AF,B00094,BIO2206,2,Coulibaly Daouda,M,16.41,2019,IS
2020-2021,4,A4830E32,B00095,BIO2206,2,Ibrahim Soumaïla,M,12.96,2019,SRI
2020-2021,4,A31E1B63,B00001,ANG2207,4,Issa Sata,F,13.37,2019,GL
2020-2021,4,A51D533C,B00002,ANG2207,4,Guindo Djibril,M,8.89,2019,GM
2020-2021,4,AC773862,B00003,ANG2207,4,Karim Vieux,M,12.63,2019,GL
2020-2021,4,A59C175B,B00004,ANG2207,4,Kanté Salif,M,8.65,2019,IS
2020-2021,4,A6813438,B00005,ANG2207,4,Zouma Souleymane,M,10.18,2019,GM
2020-2021,4,A5A74F91,B00006,ANG2207,4,Tao Djibril,M,8.72,2019,IA
2020-2021,4,A58A4E30,B00007,ANG2207,4,Mamadou Yasmine,F,14.67,2019,GC
2020-2021,4,A11DDA23,B00008,ANG2207,4,Berg Aïda,F,11.65,2019,IS
2020-2021,4,AD9AB4C2,B00009,ANG2207,4,Bakary Youssouf,M,9.37,2019,GL
2020-2021,4,AD047D3B,B00010,ANG2207,4,Sitan Fodé,M,8.43,2019,GC
2020-2021,4,A06439DC,B00011,ANG2207,4,Issa Aïssatou,F,7.13,2019,IA
2020-2021,4,A4745C6A,B00012,ANG2207,4,Zacharie Kadidia,F,6.15,2019,GL
2020-2021,4,AC06AEEF,B00013,ANG2207,4,Aminata Karim,M,1.14,2019,IA
2020-2021,4,A6C3C7D4,B00014,ANG2207,4,Diabaté Ibrahim,M,11.63,2019,GC
2020-2021,4,ACA0DD76,B00015,ANG2207,4,Aïcha Aïssatou,F,2.78,2019,GE
2020-2021,4,AFB6D318,B00016,ANG2207,4,Gakou Abdoulaye,M,13.47,2019,GC
2020-2021,4,A785E4DD,B00017,ANG2207,4,Lassana Sidi,M,14.67,2019,IA
2020-2021,4,A36FEB8D,B00018,ANG2207,4,Sata Cheick,M,11.01,2019,GM
2020-2021,4,A8FEBE91,B00019,ANG2207,4,Mata Djibril,M,8.56,2019,LT
2020-2021,4,A1F398C7,B00020,ANG2207,4,Sidibé M'mah,F,9.99,2019,IA
2020-2021,4,A5E2718A,B00021,ANG2207,4,Halima Kassim,M,17.4,2019,GL
2020-2021,4,A0E37447,B00022,ANG2207,4,Habib Moussa,M,11.92,2019,LT
2020-2021,4,ABD9F846,B00023,ANG2207,4,Berg Aïcha,F,3.3,2019,LT
2020-2021,4,AC3731B2,B00024,ANG2207,4,Gakou Hawa,F,12.79,2019,GL
2020-2021,4,AF256CB5,B00025,ANG2207,4,Rahmatou Assa,F,15.7,2019,GM
2020-2021,4,A8EB8FDD,B00026,ANG2207,4,Nafissa Fatou,F,11.47,2019,IS
2020-2021,4,A1149066,B00027,ANG2207,4,Mata Bakary,M,9.04,2019,IS
2020-2021,4,A52EC93B,B00028,ANG2207,4,Mamadou Rahmatou,F,10.78,2019,IS
2020-2021,4,AABE3263,B00029,ANG2207,4,Koman Nafissa,F,11.35,2019,GL
2020-2021,4,ACC2EC0E,B00030,ANG2207,4,Awa Abdoulaye,M,8.38,2019,GE
2020-2021,4,AF954601,B00031,ANG2207,4,Traoré Sidi,M,16.19,2019,GM
2020-2021,4,AA2C64E4,B00032,ANG2207,4,Nabintou Youssouf,M,9.03,2019,IA
2020-2021,4,AD17AD4E,B00033,ANG2207,4,Djibril Bakary,M,13.04,2019,GC
2020-2021,4,A901D989,B00034,ANG2207,4,Ibrahim Boureima,M,11.5,2019,IS
2020-2021,4,A7AF5541,B00035,ANG2207,4,Sylla Abdoulaye,M,6.23,2019,SRI
2020-2021,4,AF02D1AB,B00036,ANG2207,4,Salimata Elhadj,M,9.29,2019,GC
2020-2021,4,AE61D142,B00037,ANG2207,4,Zacharie Habib,M,14.63,2019,GE
2020-2021,4,A37165BA,B00038,ANG2207,4,Keita Fodé,M,7.91,2019,IS
2020-2021,4,A233A7DD,B00039,ANG2207,4,Zoumana Fanta,F,8.24,2019,LT
2020-2021,4,A8BFE517,B00040,ANG2207,4,Kadiatou Mamane,M,6.17,2019,GC
2020-2021,4,A3031285,B00041,ANG2207,4,Barry Ousmane,M,9.12,2019,GC
2020-2021,4,A44FC3D4,B00042,ANG2207,4,Younoussa Boureima,M,11.74,2019,GM
2020-2021,4,A2DF4567,B00043,ANG2207,4,Gakou Fanta,F,12.71,2019,IA
2020-2021,4,A84C72D9,B00044,ANG2207,4,Zouma Fatou,F,14.13,2019,GE
2020-2021,4,ADF08647,B00045,ANG2207,4,Mariam Ibrahim,M,9.81,2019,IS
2020-2021,4,A4C24F61,B00046,ANG2207,4,Yattabaye Abdou,M,9.14,2019,SRI
2020-2021,4,A9441997,B00047,ANG2207,4,Diabaté Mahamadou,M,13.39,2019,GM
2020-2021,4,A36F6C19,B00048,ANG2207,4,Koné Harouna,M,3.48,2019,IA
2020-2021,4,AC4AAE1D,B00049,ANG2207,4,Younoussa Issiaka,M,16.0,2019,LT
2020-2021,4,AC006A0F,B00050,ANG2207,4,Oumou Lassana,M,14.41,2019,GC
2020-2021,4,A6CA6F44,B00051,ANG2207,4,Kanté Zacharie,M,5.8,2019,GM
2020-2021,4,AFBDA9C3,B00052,ANG2207,4,Oumou Souleymane,M,18.93,2019,GL
2020-2021,4,AED7182B,B00053,ANG2207,4,Tandja Brahima,M,8.17,2019,GM
2020-2021,4,A348C74A,B00054,ANG2207,4,Keita Alhassane,M,10.05,2019,GE
2020-2021,4,A98A6D0A,B00055,ANG2207,4,Zouolé Amadou,M,12.12,2019,IA
2020-2021,4,AF699897,B00056,ANG2207,4,Salimata Abdoulaye,M,2.1,2019,GL
2020-2021,4,A44ECF28,B00057,ANG2207,4,Gano Mahamadou,M,7.81,2019,SRI
2020-2021,4,A4235FA3,B00058,ANG2207,4,Sali Tidjani,M,8.33,2019,GC
2020-2021,4,AA094516,B00059,ANG2207,4,Karim Oumou,F,8.82,2019,LT
2020-2021,4,A0CF3098,B00060,ANG2207,4,Sacko Bakary,M,12.82,2019,GM
2020-2021,4,ADC8F01C,B00061,ANG2207,4,Oumar Cheick,M,10.74,2019,GL
2020-2021,4,AC2DBB0B,B00062,ANG2207,4,Sacko Ibrahim,M,11.48,2019,GL
2020-2021,4,A4892699,B00063,ANG2207,4,Camara Issiaka,M,10.97,2019,GC
2020-2021,4,A7F25F9D,B00064,ANG2207,4,Lala Awa,F,7.29,2019,GL
2020-2021,4,A7E4DDDA,B00065,ANG2207,4,Makan Vieux,M,9.82,2019,IS
2020-2021,4,A92B1306,B00066,ANG2207,4,Amadou Souleymane,M,15.98,2019,IS
2020-2021,4,AD6B17D3,B00067,ANG2207,4,Zacharie Salimata,F,18.32,2019,IA
2020-2021,4,A077C012,B00068,ANG2207,4,Camara Nouhou,M,9.15,2019,GE
2020-2021,4,A91FB1D3,B00069,ANG2207,4,Souleymane Zénab,F,8.83,2019,IA
2020-2021,4,AB0D72CC,B00070,ANG2207,4,Maïga Kassim,M,4.81,2019,SRI
2020-2021,4,AF57CB9F,B00071,ANG2207,4,Alassane Sada,M,2.19,2019,SRI
2020-2021,4,A99F0522,B00072,ANG2207,4,Tao Rachid,M,10.88,2019,GL
2020-2021,4,A1DCED28,B00073,ANG2207,4,Adama Daouda,M,9.0,2019,GM
2020-2021,4,A3DF14C2,B00074,ANG2207,4,Cissé Samba,M,7.66,2019,GM
2020-2021,4,ABE615E0,B00075,ANG2207,4,Bâ Zana,F,10.9,2019,GL
2020-2021,4,A4CDB493,B00076,ANG2207,4,Sangaré Abdou,M,10.09,2019,SRI
2020-2021,4,A224387D,B00077,ANG2207,4,Bamba Cheick,M,5.14,2019,IA
2020-2021,4,AD807E2D,B00078,ANG2207,4,Gakou Rahmatou,F,8.31,2019,GE
2020-2021,4,AEAC2B94,B00079,ANG2207,4,Karim Lamine,M,14.88,2019,GE
2020-2021,4,A079F848,B00080,ANG2207,4,Fatoumata Abdoulaye,M,1.93,2019,GL
2020-2021,4,A49529B1,B00081,ANG2207,4,Oumar Mahamane,M,9.9,2019,GL
2020-2021,4,A908F510,B00082,ANG2207,4,Kéita Aïda,F,5.74,2019,LT
2020-2021,4,A28AF623,B00083,ANG2207,4,Fatoumata Younoussa,M,5.95,2019,GL
2020-2021,4,A92CF342,B00084,ANG2207,4,Sangaré Modibo,M,9.82,2019,GE
2020-2021,4,A90BA7D3,B00085,ANG2207,4,Bouna Mahamane,M,14.7,2019,IA
2020-2021,4,AF81BEF9,B00086,ANG2207,4,Abdou Sitan,F,11.93,2019,GC
2020-2021,4,A5F0BCA8,B00087,ANG2207,4,Zoumana Boureima,M,5.8,2019,GE
2020-2021,4,AD9EB73C,B00088,ANG2207,4,Maïga Ousmane,M,10.61,2019,IA
2020-2021,4,A61B7FA2,B00089,ANG2207,4,Lassana Halima,F,8.94,2019,GC
2020-2021,4,A3F2C91C,B00090,ANG2207,4,Yacouba Issiaka,M,9.0,2019,GM
2020-2021,4,A73F1B6C,B00091,ANG2207,4,Djité Cheick,M,16.16,2019,IS
2020-2021,4,AB07F4AF,B00092,ANG2207,4,Bamba Fodé,M,12.25,2019,GE
2020-2021,4,A7AACFFD,B00093,ANG2207,4,Zoumana Boureima,M,9.01,2019,IA
2020-2021,4,A3D5A8AF,B00094,ANG2207,4,Coulibaly Daouda,M,11.17,2019,IS
2020-2021,4,A4830E32,B00095,ANG2207,4,Ibrahim Soumaïla,M,12.34,2019,SRI
2020-2021,4,A31E1B63,B00001,ANG2208,2,Issa Sata,F,19.87,2019,GL
2020-2021,4,A51D533C,B00002,ANG2208,2,Guindo Djibril,M,17.91,2019,GM
2020-2021,4,AC773862,B00003,ANG2208,2,Karim Vieux,M,7.01,2019,GL
2020-2021,4,A59C175B,B00004,ANG2208,2,Kanté Salif,M,17.58,2019,IS
2020-2021,4,A6813438,B00005,ANG2208,2,Zouma Souleymane,M,15.87,2019,GM
2020-2021,4,A5A74F91,B00006,ANG2208,2,Tao Djibril,M,18.95,2019,IA
2020-2021,4,A58A4E30,B00007,ANG2208,2,Mamadou Yasmine,F,14.6,2019,GC
2020-2021,4,A11DDA23,B00008,ANG2208,2,Berg Aïda,F,15.59,2019,IS
2020-2021,4,AD9AB4C2,B00009,ANG2208,2,Bakary Youssouf,M,16.91,2019,GL
2020-2021,4,AD047D3B,B00010,ANG2208,2,Sitan Fodé,M,16.2,2019,GC
2020-2021,4,A06439DC,B00011,ANG2208,2,Issa Aïssatou,F,15.13,2019,IA
2020-2021,4,A4745C6A,B00012,ANG2208,2,Zacharie Kadidia,F,13.68,2019,GL
2020-2021,4,AC06AEEF,B00013,ANG2208,2,Aminata Karim,M,10.88,2019,IA
2020-2021,4,A6C3C7D4,B00014,ANG2208,2,Diabaté Ibrahim,M,4.08,2019,GC
2020-2021,4,ACA0DD76,B00015,ANG2208,2,Aïcha Aïssatou,F,6.77,2019,GE
2020-2021,4,AFB6D318,B00016,ANG2208,2,Gakou Abdoulaye,M,11.91,2019,GC
2020-2021,4,A785E4DD,B00017,ANG2208,2,Lassana Sidi,M,8.27,2019,IA
2020-2021,4,A36FEB8D,B00018,ANG2208,2,Sata Cheick,M,17.11,2019,GM
2020-2021,4,A8FEBE91,B00019,ANG2208,2,Mata Djibril,M,2.28,2019,LT
2020-2021,4,A1F398C7,B00020,ANG2208,2,Sidibé M'mah,F,10.97,2019,IA
2020-2021,4,A5E2718A,B00021,ANG2208,2,Halima Kassim,M,13.13,2019,GL
2020-2021,4,A0E37447,B00022,ANG2208,2,Habib Moussa,M,20.0,2019,LT
2020-2021,4,ABD9F846,B00023,ANG2208,2,Berg Aïcha,F,11.67,2019,LT
2020-2021,4,AC3731B2,B00024,ANG2208,2,Gakou Hawa,F,17.33,2019,GL
2020-2021,4,AF256CB5,B00025,ANG2208,2,Rahmatou Assa,F,13.39,2019,GM
2020-2021,4,A8EB8FDD,B00026,ANG2208,2,Nafissa Fatou,F,15.56,2019,IS
2020-2021,4,A1149066,B00027,ANG2208,2,Mata Bakary,M,16.43,2019,IS
2020-2021,4,A52EC93B,B00028,ANG2208,2,Mamadou Rahmatou,F,12.24,2019,IS
2020-2021,4,AABE3263,B00029,ANG2208,2,Koman Nafissa,F,4.79,2019,GL
2020-2021,4,ACC2EC0E,B00030,ANG2208,2,Awa Abdoulaye,M,10.51,2019,GE
2020-2021,4,AF954601,B00031,ANG2208,2,Traoré Sidi,M,10.07,2019,GM
2020-2021,4,AA2C64E4,B00032,ANG2208,2,Nabintou Youssouf,M,14.43,2019,IA
2020-2021,4,AD17AD4E,B00033,ANG2208,2,Djibril Bakary,M,9.77,2019,GC
2020-2021,4,A901D989,B00034,ANG2208,2,Ibrahim Boureima,M,15.68,2019,IS
2020-2021,4,A7AF5541,B00035,ANG2208,2,Sylla Abdoulaye,M,11.27,2019,SRI
2020-2021,4,AF02D1AB,B00036,ANG2208,2,Salimata Elhadj,M,10.11,2019,GC
2020-2021,4,AE61D142,B00037,ANG2208,2,Zacharie Habib,M,12.3,2019,GE
2020-2021,4,A37165BA,B00038,ANG2208,2,Keita Fodé,M,16.93,2019,IS
2020-2021,4,A233A7DD,B00039,ANG2208,2,Zoumana Fanta,F,12.14,2019,LT
2020-2021,4,A8BFE517,B00040,ANG2208,2,Kadiatou Mamane,M,17.98,2019,GC
2020-2021,4,A3031285,B00041,ANG2208,2,Barry Ousmane,M,5.92,2019,GC
2020-2021,4,A44FC3D4,B00042,ANG2208,2,Younoussa Boureima,M,11.02,2019,GM
2020-2021,4,A2DF4567,B00043,ANG2208,2,Gakou Fanta,F,13.18,2019,IA
2020-2021,4,A84C72D9,B00044,ANG2208,2,Zouma Fatou,F,16.25,2019,GE
2020-2021,4,ADF08647,B00045,ANG2208,2,Mariam Ibrahim,M,13.22,2019,IS
2020-2021,4,A4C24F61,B00046,ANG2208,2,Yattabaye Abdou,M,12.04,2019,SRI
2020-2021,4,A9441997,B00047,ANG2208,2,Diabaté Mahamadou,M,15.58,2019,GM
2020-2021,4,A36F6C19,B00048,ANG2208,2,Koné Harouna,M,4.88,2019,IA
2020-2021,4,AC4AAE1D,B00049,ANG2208,2,Younoussa Issiaka,M,10.79,2019,LT
2020-2021,4,AC006A0F,B00050,ANG2208,2,Oumou Lassana,M,18.0,2019,GC
2020-2021,4,A6CA6F44,B00051,ANG2208,2,Kanté Zacharie,M,6.33,2019,GM
2020-2021,4,AFBDA9C3,B00052,ANG2208,2,Oumou Souleymane,M,16.07,2019,GL
2020-2021,4,AED7182B,B00053,ANG2208,2,Tandja Brahima,M,17.17,2019,GM
2020-2021,4,A348C74A,B00054,ANG2208,2,Keita Alhassane,M,11.98,2019,GE
2020-2021,4,A98A6D0A,B00055,ANG2208,2,Zouolé Amadou,M,9.94,2019,IA
2020-2021,4,AF699897,B00056,ANG2208,2,Salimata Abdoulaye,M,14.59,2019,GL
2020-2021,4,A44ECF28,B00057,ANG2208,2,Gano Mahamadou,M,7.78,2019,SRI
2020-2021,4,A4235FA3,B00058,ANG2208,2,Sali Tidjani,M,12.82,2019,GC
2020-2021,4,AA094516,B00059,ANG2208,2,Karim Oumou,F,7.13,2019,LT
2020-2021,4,A0CF3098,B00060,ANG2208,2,Sacko Bakary,M,7.65,2019,GM
2020-2021,4,ADC8F01C,B00061,ANG2208,2,Oumar Cheick,M,13.13,2019,GL
2020-2021,4,AC2DBB0B,B00062,ANG2208,2,Sacko Ibrahim,M,10.09,2019,GL
2020-2021,4,A4892699,B00063,ANG2208,2,Camara Issiaka,M,10.06,2019,GC
2020-2021,4,A7F25F9D,B00064,ANG2208,2,Lala Awa,F,12.91,2019,GL
2020-2021,4,A7E4DDDA,B00065,ANG2208,2,Makan Vieux,M,18.92,2019,IS
2020-2021,4,A92B1306,B00066,ANG2208,2,Amadou Souleymane,M,18.49,2019,IS
2020-2021,4,AD6B17D3,B00067,ANG2208,2,Zacharie Salimata,F,18.5,2019,IA
2020-2021,4,A077C012,B00068,ANG2208,2,Camara Nouhou,M,12.66,2019,GE
2020-2021,4,A91FB1D3,B00069,ANG2208,2,Souleymane Zénab,F,11.85,2019,IA
2020-2021,4,AB0D72CC,B00070,ANG2208,2,Maïga Kassim,M,7.0,2019,SRI
2020-2021,4,AF57CB9F,B00071,ANG2208,2,Alassane Sada,M,15.38,2019,SRI
2020-2021,4,A99F0522,B00072,ANG2208,2,Tao Rachid,M,11.39,2019,GL
2020-2021,4,A1DCED28,B00073,ANG2208,2,Adama Daouda,M,16.92,2019,GM
2020-2021,4,A3DF14C2,B00074,ANG2208,2,Cissé Samba,M,14.08,2019,GM
2020-2021,4,ABE615E0,B00075,ANG2208,2,Bâ Zana,F,8.95,2019,GL
2020-2021,4,A4CDB493,B00076,ANG2208,2,Sangaré Abdou,M,15.75,2019,SRI
2020-2021,4,A224387D,B00077,ANG2208,2,Bamba Cheick,M,18.4,2019,IA
2020-2021,4,AD807E2D,B00078,ANG2208,2,Gakou Rahmatou,F,14.38,2019,GE
2020-2021,4,AEAC2B94,B00079,ANG2208,2,Karim Lamine,M,11.19,2019,GE
2020-2021,4,A079F848,B00080,ANG2208,2,Fatoumata Abdoulaye,M,5.75,2019,GL
2020-2021,4,A49529B1,B00081,ANG2208,2,Oumar Mahamane,M,12.11,2019,GL
2020-2021,4,A908F510,B00082,ANG2208,2,Kéita Aïda,F,14.15,2019,LT
2020-2021,4,A28AF623,B00083,ANG2208,2,Fatoumata Younoussa,M,17.77,2019,GL
2020-2021,4,A92CF342,B00084,ANG2208,2,Sangaré Modibo,M,17.06,2019,GE
2020-2021,4,A90BA7D3,B00085,ANG2208,2,Bouna Mahamane,M,7.61,2019,IA
2020-2021,4,AF81BEF9,B00086,ANG2208,2,Abdou Sitan,F,18.8,2019,GC
2020-2021,4,A5F0BCA8,B00087,ANG2208,2,Zoumana Boureima,M,10.55,2019,GE
2020-2021,4,AD9EB73C,B00088,ANG2208,2,Maïga Ousmane,M,13.29,2019,IA
2020-2021,4,A61B7FA2,B00089,ANG2208,2,Lassana Halima,F,12.37,2019,GC
2020-2021,4,A3F2C91C,B00090,ANG2208,2,Yacouba Issiaka,M,18.52,2019,GM
2020-2021,4,A73F1B6C,B00091,ANG2208,2,Djité Cheick,M,15.7,2019,IS
2020-2021,4,AB07F4AF,B00092,ANG2208,2,Bamba Fodé,M,13.14,2019,GE
2020-2021,4,A7AACFFD,B00093,ANG2208,2,Zoumana Boureima,M,11.09,2019,IA
2020-2021,4,A3D5A8AF,B00094,ANG2208,2,Coulibaly Daouda,M,13.59,2019,IS
2020-2021,4,A4830E32,B00095,ANG2208,2,Ibrahim Soumaïla,M,7.59,2019,SRI
2020-2021,4,A31E1B63,B00001,CHE2209,4,Issa Sata,F,16.37,2019,GL
2020-2021,4,A51D533C,B00002,CHE2209,4,Guindo Djibril,M,17.7,2019,GM
2020-2021,4,AC773862,B00003,CHE2209,4,Karim Vieux,M,6.63,2019,GL
2020-2021,4,A59C175B,B00004,CHE2209,4,Kanté Salif,M,14.77,2019,IS
2020-2021,4,A6813438,B00005,CHE2209,4,Zouma Souleymane,M,14.92,2019,GM
2020-2021,4,A5A74F91,B00006,CHE2209,4,Tao Djibril,M,17.35,2019,IA
2020-2021,4,A58A4E30,B00007,CHE2209,4,Mamadou Yasmine,F,13.69,2019,GC
2020-2021,4,A11DDA23,B00008,CHE2209,4,Berg Aïda,F,13.89,2019,IS
2020-2021,4,AD9AB4C2,B00009,CHE2209,4,Bakary Youssouf,M,11.35,2019,GL
2020-2021,4,AD047D3B,B00010,CHE2209,4,Sitan Fodé,M,17.23,2019,GC
2020-2021,4,A06439DC,B00011,CHE2209,4,Issa Aïssatou,F,8.31,2019,IA
2020-2021,4,A4745C6A,B00012,CHE2209,4,Zacharie Kadidia,F,12.89,2019,GL
2020-2021,4,AC06AEEF,B00013,CHE2209,4,Aminata Karim,M,17.57,2019,IA
2020-2021,4,A6C3C7D4,B00014,CHE2209,4,Diabaté Ibrahim,M,12.12,2019,GC
2020-2021,4,ACA0DD76,B00015,CHE2209,4,Aïcha Aïssatou,F,14.45,2019,GE
2020-2021,4,AFB6D318,B00016,CHE2209,4,Gakou Abdoulaye,M,17.06,2019,GC
2020-2021,4,A785E4DD,B00017,CHE2209,4,Lassana Sidi,M,15.8,2019,IA
2020-2021,4,A36FEB8D,B00018,CHE2209,4,Sata Cheick,M,12.09,2019,GM
2020-2021,4,A8FEBE91,B00019,CHE2209,4,Mata Djibril,M,6.3,2019,LT
2020-2021,4,A1F398C7,B00020,CHE2209,4,Sidibé M'mah,F,14.62,2019,IA
2020-2021,4,A5E2718A,B00021,CHE2209,4,Halima Kassim,M,20.0,2019,GL
2020-2021,4,A0E37447,B00022,CHE2209,4,Habib Moussa,M,15.37,2019,LT
2020-2021,4,ABD9F846,B00023,CHE2209,4,Berg Aïcha,F,13.75,2019,LT
2020-2021,4,AC3731B2,B00024,CHE2209,4,Gakou Hawa,F,17.9,2019,GL
2020-2021,4,AF256CB5,B00025,CHE2209,4,Rahmatou Assa,F,15.36,2019,GM
2020-2021,4,A8EB8FDD,B00026,CHE2209,4,Nafissa Fatou,F,15.18,2019,IS
2020-2021,4,A1149066,B00027,CHE2209,4,Mata Bakary,M,12.48,2019,IS
2020-2021,4,A52EC93B,B00028,CHE2209,4,Mamadou Rahmatou,F,12.18,2019,IS
2020-2021,4,AABE3263,B00029,CHE2209,4,Koman Nafissa,F,12.47,2019,GL
2020-2021,4,ACC2EC0E,B00030,CHE2209,4,Awa Abdoulaye,M,15.57,2019,GE
2020-2021,4,AF954601,B00031,CHE2209,4,Traoré Sidi,M,10.69,2019,GM
2020-2021,4,AA2C64E4,B00032,CHE2209,4,Nabintou Youssouf,M,14.5,2019,IA
2020-2021,4,AD17AD4E,B00033,CHE2209,4,Djibril Bakary,M,11.0,2019,GC
2020-2021,4,A901D989,B00034,CHE2209,4,Ibrahim Boureima,M,17.36,2019,IS
2020-2021,4,A7AF5541,B00035,CHE2209,4,Sylla Abdoulaye,M,12.75,2019,SRI
2020-2021,4,AF02D1AB,B00036,CHE2209,4,Salimata Elhadj,M,17.16,2019,GC
2020-2021,4,AE61D142,B00037,CHE2209,4,Zacharie Habib,M,15.13,2019,GE
2020-2021,4,A37165BA,B00038,CHE2209,4,Keita Fodé,M,11.45,2019,IS
2020-2021,4,A233A7DD,B00039,CHE2209,4,Zoumana Fanta,F,7.23,2019,LT
2020-2021,4,A8BFE517,B00040,CHE2209,4,Kadiatou Mamane,M,10.12,2019,GC
2020-2021,4,A3031285,B00041,CHE2209,4,Barry Ousmane,M,13.83,2019,GC
2020-2021,4,A44FC3D4,B00042,CHE2209,4,Younoussa Boureima,M,14.79,2019,GM
2020-2021,4,A2DF4567,B00043,CHE2209,4,Gakou Fanta,F,17.24,2019,IA
2020-2021,4,A84C72D9,B00044,CHE2209,4,Zouma Fatou,F,13.67,2019,GE
2020-2021,4,ADF08647,B00045,CHE2209,4,Mariam Ibrahim,M,12.75,2019,IS
2020-2021,4,A4C24F61,B00046,CHE2209,4,Yattabaye Abdou,M,17.53,2019,SRI
2020-2021,4,A9441997,B00047,CHE2209,4,Diabaté Mahamadou,M,20.0,2019,GM
2020-2021,4,A36F6C19,B00048,CHE2209,4,Koné Harouna,M,7.3,2019,IA
2020-2021,4,AC4AAE1D,B00049,CHE2209,4,Younoussa Issiaka,M,14.22,2019,LT
2020-2021,4,AC006A0F,B00050,CHE2209,4,Oumou Lassana,M,15.66,2019,GC
2020-2021,4,A6CA6F44,B00051,CHE2209,4,Kanté Zacharie,M,12.53,2019,GM
2020-2021,4,AFBDA9C3,B00052,CHE2209,4,Oumou Souleymane,M,20.0,2019,GL
2020-2021,4,AED7182B,B00053,CHE2209,4,Tandja Brahima,M,12.31,2019,GM
2020-2021,4,A348C74A,B00054,CHE2209,4,Keita Alhassane,M,16.82,2019,GE
2020-2021,4,A98A6D0A,B00055,CHE2209,4,Zouolé Amadou,M,13.89,2019,IA
2020-2021,4,AF699897,B00056,CHE2209,4,Salimata Abdoulaye,M,12.41,2019,GL
